Wall time,Step,Value
1613067948.314796,0,3.115115760010667e-06
1613067948.369039,1,3.787921741604805e-06
1613067948.425903,2,-0.00010633817873895168
1613067948.483632,3,-0.00014478137018159032
1613067948.539088,4,-0.00014110164192970842
1613067948.597958,5,-0.00017184250464197248
1613067948.655293,6,-0.00018363806884735823
1613067948.711219,7,-0.00028668472077697515
1613067948.767263,8,-0.00026902611716650426
1613067948.822234,9,-0.0003484661865513772
1613067948.87753,10,-0.00036210811231285334
1613067948.932222,11,-0.0003529221867211163
1613067948.988783,12,-0.0006113584968261421
1613067949.044039,13,-0.0005111575592309237
1613067949.099887,14,-0.00044892114237882197
1613067949.15694,15,-0.0007717240368947387
1613067949.215798,16,-0.0013813708210363984
1613067949.274606,17,-0.0016530624125152826
1613067949.334097,18,-0.0021484189201146364
1613067949.3909,19,-0.0014154082164168358
1613067949.450523,20,-0.0005526996101252735
1613067949.511009,21,-0.0024187550880014896
1613067949.570926,22,-0.00288225244730711
1613067949.630825,23,-0.004771399777382612
1613067949.692501,24,-0.005378114525228739
1613067949.756896,25,-0.005710840690881014
1613067949.821185,26,-0.00620007049292326
1613067949.882924,27,-0.004132479894906282
1613067949.946403,28,-0.006359702907502651
1613067950.001969,29,-0.001705826842226088
1613067950.071391,30,-0.00541748758405447
1613067950.131251,31,-0.0038745913188904524
1613067950.192782,32,-0.010525831021368504
1613067950.252866,33,-0.011888326145708561
1613067950.313152,34,-0.0197841115295887
1613067950.37701,35,-0.01912793517112732
1613067950.442903,36,-0.01777995377779007
1613067950.508746,37,-0.018488293513655663
1613067950.571229,38,-0.025536904111504555
1613067950.634072,39,-0.026305951178073883
1613067950.696062,40,-0.035336583852767944
1613067950.758221,41,-0.02248707041144371
1613067950.812664,42,-0.019612697884440422
1613067950.869755,43,-0.027497684583067894
1613067950.924365,44,-0.008409611880779266
1613067950.979744,45,-0.03242194652557373
1613067951.035026,46,-0.019869279116392136
1613067951.09004,47,-0.01971263810992241
1613067951.165157,48,-0.008751345798373222
1613067951.246859,49,-0.038198281079530716
1613067951.318035,50,-0.010495234280824661
1613067951.389521,51,-0.01305306889116764
1613067951.463434,52,-0.016294220462441444
1613067951.539974,53,-0.034387946128845215
1613067951.61367,54,-0.06152966991066933
1613067951.675768,55,-0.03447648510336876
1613067951.732127,56,-0.029097095131874084
1613067951.787405,57,-0.04412873834371567
1613067951.84332,58,-0.017766375094652176
1613067951.89945,59,-0.022747499868273735
1613067951.966678,60,-0.03057718090713024
1613067952.025382,61,-0.03410690650343895
1613067952.081239,62,-0.054435018450021744
1613067952.136306,63,-0.05742983892560005
1613067952.190706,64,-0.03807917609810829
1613067952.256221,65,-0.05962010845541954
1613067952.315685,66,-0.03424640744924545
1613067952.376599,67,-0.03224414587020874
1613067952.436772,68,-0.048587992787361145
1613067952.497531,69,-0.02755587175488472
1613067952.556182,70,-0.022630061954259872
1613067952.625844,71,-0.0397149957716465
1613067952.686615,72,-0.0403224378824234
1613067952.746153,73,-0.02695845067501068
1613067952.815675,74,-0.04961381480097771
1613067952.871517,75,-0.04977622628211975
1613067952.931434,76,-0.04415139555931091
1613067953.001938,77,-0.049738120287656784
1613067953.071307,78,-0.04262011498212814
1613067953.137835,79,-0.08188652247190475
1613067953.205522,80,-0.05635978654026985
1613067953.262064,81,-0.04933948814868927
1613067953.327353,82,-0.04296864941716194
1613067953.38676,83,-0.04840552434325218
1613067953.443682,84,-0.0434771329164505
1613067953.498775,85,-0.04504423215985298
1613067953.553953,86,-0.04820135608315468
1613067953.608095,87,-0.0726931169629097
1613067953.675673,88,-0.07209394127130508
1613067953.734196,89,-0.05705580860376358
1613067953.791989,90,-0.08996407687664032
1613067953.850587,91,-0.07962491363286972
1613067953.909749,92,-0.0932692214846611
1613067953.96964,93,-0.08578167855739594
1613067954.039526,94,-0.0989825502038002
1613067954.094486,95,-0.12422411888837814
1613067954.148877,96,-0.08368919044733047
1613067954.203939,97,-0.08044459670782089
1613067954.259192,98,-0.06138689070940018
1613067954.328358,99,-0.09331689029932022
