Wall time,Step,Value
1613068360.770731,0,0.000163209144375287
1613068360.825774,1,4.272257137927227e-05
1613068360.882247,2,-6.82088648318313e-05
1613068360.937912,3,-0.0002991982619278133
1613068361.003841,4,-0.0005355377215892076
1613068361.075023,5,-0.001108315889723599
1613068361.140821,6,-0.002295086160302162
1613068361.205892,7,-0.004694826435297728
1613068361.271586,8,-0.0068823122419416904
1613068361.340535,9,-0.008455505594611168
1613068361.405946,10,-0.008864907547831535
1613068361.47017,11,-0.014581440947949886
1613068361.535492,12,-0.02369442768394947
1613068361.601093,13,-0.04068538174033165
1613068361.671317,14,-0.0542084202170372
1613068361.738506,15,-0.06397584080696106
1613068361.809003,16,-0.08098554611206055
1613068361.878325,17,-0.11737769842147827
1613068361.946829,18,-0.15702268481254578
1613068362.017936,19,-0.1862572878599167
1613068362.088709,20,-0.1923542618751526
1613068362.160687,21,-0.2312641143798828
1613068362.230827,22,-0.26130133867263794
1613068362.305064,23,-0.30824175477027893
1613068362.376505,24,-0.30533865094184875
1613068362.450527,25,-0.2868698239326477
1613068362.524356,26,-0.27095818519592285
1613068362.59895,27,-0.2691287398338318
1613068362.670473,28,-0.33557045459747314
1613068362.744294,29,-0.3846634030342102
1613068362.820728,30,-0.3750320374965668
1613068362.893931,31,-0.31914177536964417
1613068362.972516,32,-0.26177117228507996
1613068363.049428,33,-0.40801194310188293
1613068363.126172,34,-0.3443482220172882
1613068363.194746,35,-0.3786907196044922
1613068363.261573,36,-0.2495671808719635
1613068363.335194,37,-0.34344208240509033
1613068363.413018,38,-0.3596740663051605
1613068363.490573,39,-0.34375354647636414
1613068363.569911,40,-0.39490023255348206
1613068363.648319,41,-0.31156426668167114
1613068363.724215,42,-0.4006715416908264
1613068363.806419,43,-0.3495464026927948
1613068363.884943,44,-0.2684383690357208
1613068363.964023,45,-0.2535933256149292
1613068364.040854,46,-0.36224061250686646
1613068364.108801,47,-0.3322608172893524
1613068364.179992,48,-0.33738067746162415
1613068364.25372,49,-0.3881175220012665
1613068364.32712,50,-0.4118892252445221
1613068364.401784,51,-0.3710375726222992
1613068364.481262,52,-0.40620049834251404
1613068364.558273,53,-0.34661048650741577
1613068364.627208,54,-0.39528727531433105
1613068364.689492,55,-0.40041178464889526
1613068364.754049,56,-0.3741284906864166
1613068364.821606,57,-0.35889431834220886
1613068364.890796,58,-0.3528975546360016
1613068364.968505,59,-0.41061195731163025
1613068365.047783,60,-0.395574688911438
1613068365.123072,61,-0.4016772210597992
1613068365.199368,62,-0.36028605699539185
1613068365.278176,63,-0.4188750088214874
1613068365.354199,64,-0.44505614042282104
1613068365.430563,65,-0.40948745608329773
1613068365.508161,66,-0.43600207567214966
1613068365.587195,67,-0.3960648775100708
1613068365.665595,68,-0.45633769035339355
1613068365.742842,69,-0.40382158756256104
1613068365.822406,70,-0.3440975248813629
1613068365.896711,71,-0.4957714378833771
1613068365.974799,72,-0.4022229313850403
1613068366.047983,73,-0.4033324718475342
1613068366.121964,74,-0.3599206507205963
1613068366.194924,75,-0.32897308468818665
1613068366.265501,76,-0.3917183578014374
1613068366.327172,77,-0.37091904878616333
1613068366.393411,78,-0.39372512698173523
1613068366.45946,79,-0.35855719447135925
1613068366.523453,80,-0.32396218180656433
1613068366.593538,81,-0.4025045335292816
1613068366.662934,82,-0.37952613830566406
1613068366.732868,83,-0.42723092436790466
1613068366.807373,84,-0.40948623418807983
1613068366.876921,85,-0.48604464530944824
1613068366.945294,86,-0.4561353623867035
1613068367.017929,87,-0.43881335854530334
1613068367.096151,88,-0.45217815041542053
1613068367.172127,89,-0.4103846848011017
1613068367.24978,90,-0.43229466676712036
1613068367.326689,91,-0.4221958816051483
1613068367.402554,92,-0.3116525709629059
1613068367.477344,93,-0.3447502851486206
1613068367.539135,94,-0.36307385563850403
1613068367.594501,95,-0.4176277816295624
1613068367.649109,96,-0.39974308013916016
1613068367.704896,97,-0.28645434975624084
1613068367.763162,98,-0.27360251545906067
1613068367.84001,99,-0.2729346454143524
