Wall time,Step,Value
1613067241.886693,0,-0.0011760921915993094
1613067241.950009,1,-0.0032675277907401323
1613067242.011514,2,-0.010915186256170273
1613067242.081385,3,-0.03252539411187172
1613067242.154217,4,-0.06760305911302567
1613067242.228669,5,-0.197998508810997
1613067242.311177,6,-0.19373635947704315
1613067242.400578,7,-0.27216553688049316
1613067242.486567,8,-0.23725025355815887
1613067242.577387,9,-0.2172538787126541
1613067242.671696,10,-0.24977536499500275
1613067242.774868,11,-0.3087880313396454
1613067242.89588,12,-0.2673770785331726
1613067243.000906,13,-0.3670135736465454
1613067243.10343,14,-0.3210532069206238
1613067243.205383,15,-0.24444963037967682
1613067243.306077,16,-0.36360129714012146
1613067243.415048,17,-0.35228636860847473
1613067243.490747,18,-0.44860073924064636
1613067243.599054,19,-0.4489792585372925
1613067243.710336,20,-0.4693695902824402
1613067243.834251,21,-0.38916081190109253
1613067243.931902,22,-0.40169548988342285
1613067244.009203,23,-0.4102380871772766
1613067244.12748,24,-0.4452480375766754
1613067244.206503,25,-0.3381851315498352
1613067244.347558,26,-0.3361250162124634
1613067244.442192,27,-0.4444688558578491
1613067244.531933,28,-0.47590819001197815
1613067244.664958,29,-0.4384889304637909
1613067244.750891,30,-0.49044910073280334
1613067244.83247,31,-0.40209704637527466
1613067244.964246,32,-0.49705684185028076
1613067245.025888,33,-0.4495113790035248
1613067245.087078,34,-0.486522912979126
1613067245.22536,35,-0.3672202229499817
1613067245.294523,36,-0.37841787934303284
1613067245.43355,37,-0.30290764570236206
1613067245.521681,38,-0.45052313804626465
1613067245.601334,39,-0.4412527084350586
1613067245.677286,40,-0.4179645776748657
1613067245.822078,41,-0.4689256250858307
1613067245.899966,42,-0.4803793430328369
1613067246.043348,43,-0.3661108911037445
1613067246.110015,44,-0.32090336084365845
1613067246.170502,45,-0.3339047133922577
1613067246.232639,46,-0.3769252896308899
1613067246.386187,47,-0.36774563789367676
1613067246.451289,48,-0.4107483923435211
1613067246.571266,49,-0.43306389451026917
1613067246.64512,50,-0.43406912684440613
1613067246.720906,51,-0.418575257062912
1613067246.79553,52,-0.431255578994751
1613067246.957843,53,-0.4443901479244232
1613067247.031288,54,-0.43558186292648315
1613067247.142342,55,-0.501521646976471
1613067247.220507,56,-0.398438423871994
1613067247.354105,57,-0.4984012842178345
1613067247.439044,58,-0.3930421471595764
1613067247.525492,59,-0.4020514190196991
1613067247.678077,60,-0.410298228263855
1613067247.747433,61,-0.5184121131896973
1613067247.809383,62,-0.4330238699913025
1613067247.870733,63,-0.47524386644363403
1613067247.928456,64,-0.4435562491416931
1613067247.985986,65,-0.4937650263309479
1613067248.176522,66,-0.4316706359386444
1613067248.241991,67,-0.4373054802417755
1613067248.30922,68,-0.4923313558101654
1613067248.37487,69,-0.48973312973976135
1613067248.442118,70,-0.49922361969947815
1613067248.504754,71,-0.3962059020996094
1613067248.704318,72,-0.4808849096298218
1613067248.762387,73,-0.33670058846473694
1613067248.820844,74,-0.4305158853530884
1613067248.876175,75,-0.3848395049571991
1613067248.938382,76,-0.4133185148239136
1613067249.139183,77,-0.48154452443122864
1613067249.203521,78,-0.4002207815647125
1613067249.260214,79,-0.420170396566391
1613067249.317567,80,-0.3757767379283905
1613067249.374941,81,-0.4110220968723297
1613067249.430146,82,-0.47095787525177
1613067249.631086,83,-0.46707069873809814
1613067249.689413,84,-0.5118672251701355
1613067249.747418,85,-0.46965378522872925
1613067249.803737,86,-0.34746044874191284
1613067249.862131,87,-0.4204201400279999
1613067249.918881,88,-0.48818439245224
1613067250.118983,89,-0.5097408294677734
1613067250.176533,90,-0.49061405658721924
1613067250.233433,91,-0.4868062138557434
1613067250.290597,92,-0.31703895330429077
1613067250.347874,93,-0.3726118803024292
1613067250.542144,94,-0.3838292956352234
1613067250.607702,95,-0.39074623584747314
1613067250.663276,96,-0.5441400408744812
1613067250.719514,97,-0.28316012024879456
1613067250.774459,98,-0.2768830358982086
1613067250.832748,99,-0.2713506519794464
