Wall time,Step,Value
1613067340.746137,0,-0.00011911342153325677
1613067340.809756,1,-0.0007737206760793924
1613067340.880382,2,-0.001910924562253058
1613067340.950391,3,-0.004754773341119289
1613067341.026658,4,-0.008367430418729782
1613067341.122921,5,-0.012967701070010662
1613067341.223311,6,-0.01978982798755169
1613067341.347667,7,-0.03028939478099346
1613067341.441318,8,-0.043239206075668335
1613067341.558115,9,-0.06634774059057236
1613067341.660495,10,-0.10200390219688416
1613067341.734919,11,-0.11602500081062317
1613067341.839554,12,-0.16870661079883575
1613067341.950512,13,-0.2522077262401581
1613067342.023999,14,-0.2477034330368042
1613067342.157103,15,-0.2312776893377304
1613067342.227405,16,-0.2916947901248932
1613067342.3516,17,-0.2949310839176178
1613067342.426307,18,-0.3900172710418701
1613067342.568315,19,-0.34828129410743713
1613067342.634082,20,-0.35667115449905396
1613067342.750766,21,-0.34363192319869995
1613067342.819213,22,-0.3324107825756073
1613067342.891055,23,-0.4248313903808594
1613067343.029317,24,-0.38084086775779724
1613067343.088671,25,-0.36016547679901123
1613067343.227758,26,-0.3002845346927643
1613067343.306925,27,-0.3904409408569336
1613067343.381854,28,-0.3663803040981293
1613067343.456474,29,-0.4957856833934784
1613067343.626816,30,-0.3869417905807495
1613067343.717254,31,-0.45137855410575867
1613067343.852764,32,-0.4120011627674103
1613067343.922864,33,-0.3754000961780548
1613067343.986301,34,-0.37728968262672424
1613067344.042587,35,-0.38829734921455383
1613067344.221402,36,-0.3768877387046814
1613067344.3122,37,-0.3345414698123932
1613067344.454605,38,-0.376962810754776
1613067344.541271,39,-0.38402843475341797
1613067344.631754,40,-0.4278842508792877
1613067344.72335,41,-0.3761133551597595
1613067344.903353,42,-0.4638611674308777
1613067345.023523,43,-0.3715769648551941
1613067345.097565,44,-0.31285664439201355
1613067345.172392,45,-0.2875378727912903
1613067345.246695,46,-0.2790725529193878
1613067345.322768,47,-0.35700172185897827
1613067345.51679,48,-0.3820476531982422
1613067345.614429,49,-0.43359848856925964
1613067345.682204,50,-0.38636112213134766
1613067345.749976,51,-0.41603949666023254
1613067345.81766,52,-0.38660359382629395
1613067345.885721,53,-0.4076566994190216
1613067345.956181,54,-0.4285831153392792
1613067346.179698,55,-0.38137751817703247
1613067346.236488,56,-0.440726637840271
1613067346.28883,57,-0.40929579734802246
1613067346.343072,58,-0.38615167140960693
1613067346.397633,59,-0.43559372425079346
1613067346.615187,60,-0.44217419624328613
1613067346.680521,61,-0.4839003086090088
1613067346.733654,62,-0.3980192542076111
1613067346.786606,63,-0.4498858153820038
1613067346.839728,64,-0.42390477657318115
1613067346.895769,65,-0.418692946434021
1613067347.124219,66,-0.4517744481563568
1613067347.182796,67,-0.4880591332912445
1613067347.236551,68,-0.4580293595790863
1613067347.290097,69,-0.5600441098213196
1613067347.344081,70,-0.4574037492275238
1613067347.3979,71,-0.44949185848236084
1613067347.623902,72,-0.4500521421432495
1613067347.678493,73,-0.3754294216632843
1613067347.732286,74,-0.3591751158237457
1613067347.786194,75,-0.41032183170318604
1613067347.839459,76,-0.3669283986091614
1613067348.056003,77,-0.3726254999637604
1613067348.119889,78,-0.37349021434783936
1613067348.172241,79,-0.35273659229278564
1613067348.225697,80,-0.3199080526828766
1613067348.279427,81,-0.37566208839416504
1613067348.334715,82,-0.46903693675994873
1613067348.553749,83,-0.44280457496643066
1613067348.610377,84,-0.44731470942497253
1613067348.664744,85,-0.4767442047595978
1613067348.718967,86,-0.39573556184768677
1613067348.773859,87,-0.46675193309783936
1613067348.826964,88,-0.459003746509552
1613067349.046068,89,-0.4788450300693512
1613067349.112169,90,-0.4475075602531433
1613067349.180528,91,-0.4209139347076416
1613067349.239834,92,-0.30865052342414856
1613067349.301163,93,-0.3356434106826782
1613067349.521682,94,-0.39217957854270935
1613067349.590335,95,-0.38491424918174744
1613067349.655284,96,-0.47503072023391724
1613067349.722281,97,-0.2776379883289337
1613067349.790862,98,-0.27268657088279724
1613067349.857592,99,-0.34180861711502075
