Wall time,Step,Value
1613067266.204233,0,0.0001476627221563831
1613067266.268022,1,-0.001248616841621697
1613067266.339594,2,-0.004639843013137579
1613067266.410792,3,-0.014292299747467041
1613067266.48814,4,-0.028394358232617378
1613067266.585724,5,-0.06669145077466965
1613067266.685757,6,-0.13697396218776703
1613067266.808246,7,-0.19585636258125305
1613067266.911595,8,-0.1737518161535263
1613067267.031479,9,-0.17410126328468323
1613067267.108717,10,-0.22365112602710724
1613067267.218898,11,-0.2834334075450897
1613067267.331304,12,-0.28222790360450745
1613067267.410473,13,-0.3157481551170349
1613067267.536312,14,-0.2703327238559723
1613067267.655326,15,-0.24132919311523438
1613067267.748894,16,-0.2620531916618347
1613067267.823375,17,-0.2912271022796631
1613067267.94576,18,-0.3791709840297699
1613067268.011296,19,-0.4021187126636505
1613067268.141217,20,-0.4303034543991089
1613067268.233173,21,-0.42010483145713806
1613067268.296593,22,-0.3670523464679718
1613067268.423006,23,-0.3886859118938446
1613067268.506329,24,-0.3516979217529297
1613067268.585421,25,-0.3666161000728607
1613067268.735338,26,-0.33267468214035034
1613067268.80007,27,-0.45783156156539917
1613067268.862067,28,-0.3968915641307831
1613067268.921623,29,-0.3767031729221344
1613067269.081936,30,-0.44547897577285767
1613067269.139217,31,-0.5533889532089233
1613067269.262048,32,-0.44269034266471863
1613067269.328338,33,-0.4230630397796631
1613067269.392626,34,-0.4200376570224762
1613067269.455936,35,-0.3990626633167267
1613067269.622259,36,-0.3875736594200134
1613067269.704794,37,-0.3499468266963959
1613067269.833243,38,-0.317583292722702
1613067269.906835,39,-0.42475709319114685
1613067269.977553,40,-0.494154155254364
1613067270.050288,41,-0.5009065866470337
1613067270.225321,42,-0.43921321630477905
1613067270.357044,43,-0.38758864998817444
1613067270.435139,44,-0.3304586410522461
1613067270.514405,45,-0.27935904264450073
1613067270.591655,46,-0.3608117699623108
1613067270.670628,47,-0.3435031473636627
1613067270.85798,48,-0.3774930238723755
1613067270.955434,49,-0.36929431557655334
1613067271.030874,50,-0.38513049483299255
1613067271.105409,51,-0.34740307927131653
1613067271.178485,52,-0.4439168870449066
1613067271.253045,53,-0.39338305592536926
1613067271.32597,54,-0.46884632110595703
1613067271.529266,55,-0.33871641755104065
1613067271.592517,56,-0.429048091173172
1613067271.658929,57,-0.4139159023761749
1613067271.722084,58,-0.4494500756263733
1613067271.786957,59,-0.4443265199661255
1613067271.998058,60,-0.3663901090621948
1613067272.061684,61,-0.4128829538822174
1613067272.113692,62,-0.42392945289611816
1613067272.166771,63,-0.4942958950996399
1613067272.22242,64,-0.5025879144668579
1613067272.275654,65,-0.5022496581077576
1613067272.498643,66,-0.4539846181869507
1613067272.556024,67,-0.5739043951034546
1613067272.61003,68,-0.42263180017471313
1613067272.665673,69,-0.4548729658126831
1613067272.718346,70,-0.5050061941146851
1613067272.772199,71,-0.4637759327888489
1613067272.996115,72,-0.41512787342071533
1613067273.051268,73,-0.3783877491950989
1613067273.105074,74,-0.4186464250087738
1613067273.158938,75,-0.4079318940639496
1613067273.213582,76,-0.43769195675849915
1613067273.425393,77,-0.3503410220146179
1613067273.490902,78,-0.5117157697677612
1613067273.545464,79,-0.4136486053466797
1613067273.59851,80,-0.29345783591270447
1613067273.651619,81,-0.44163936376571655
1613067273.70403,82,-0.41122254729270935
1613067273.92382,83,-0.4980843663215637
1613067273.983182,84,-0.5357773303985596
1613067274.039741,85,-0.45296406745910645
1613067274.09558,86,-0.31005316972732544
1613067274.150848,87,-0.3976379632949829
1613067274.206011,88,-0.425527960062027
1613067274.429261,89,-0.4754732549190521
1613067274.490934,90,-0.5275222659111023
1613067274.547076,91,-0.4507923126220703
1613067274.602659,92,-0.32238224148750305
1613067274.65801,93,-0.32834839820861816
1613067274.869827,94,-0.35013267397880554
1613067274.933934,95,-0.48559439182281494
1613067274.991627,96,-0.44214752316474915
1613067275.052022,97,-0.32207438349723816
1613067275.110072,98,-0.2632116377353668
1613067275.168835,99,-0.29738545417785645
