Wall time,Step,Value
1613068195.774476,0,-0.0008019845117814839
1613068195.83026,1,-0.0023972562048584223
1613068195.886733,2,-0.0051230513490736485
1613068195.94298,3,-0.012052884325385094
1613068196.010138,4,-0.01522627379745245
1613068196.075087,5,-0.027186041697859764
1613068196.138748,6,-0.06198981776833534
1613068196.205185,7,-0.1069221943616867
1613068196.268838,8,-0.0890476256608963
1613068196.336217,9,-0.10805542021989822
1613068196.398972,10,-0.1253528594970703
1613068196.464488,11,-0.14026693999767303
1613068196.533842,12,-0.1844523400068283
1613068196.601039,13,-0.1896861493587494
1613068196.676873,14,-0.2252097874879837
1613068196.748784,15,-0.21728397905826569
1613068196.82117,16,-0.24693334102630615
1613068196.893725,17,-0.23535341024398804
1613068196.964729,18,-0.25680026412010193
1613068197.044612,19,-0.28693869709968567
1613068197.115962,20,-0.34333956241607666
1613068197.187974,21,-0.3213830292224884
1613068197.261948,22,-0.3057984709739685
1613068197.335031,23,-0.3755283057689667
1613068197.41507,24,-0.36575427651405334
1613068197.494908,25,-0.28636056184768677
1613068197.572145,26,-0.2871478796005249
1613068197.653473,27,-0.3567174971103668
1613068197.730422,28,-0.35576945543289185
1613068197.809879,29,-0.388238787651062
1613068197.887928,30,-0.3877025544643402
1613068197.967321,31,-0.4190416634082794
1613068198.045965,32,-0.36674535274505615
1613068198.123265,33,-0.36001595854759216
1613068198.199386,34,-0.37524545192718506
1613068198.280102,35,-0.4567987322807312
1613068198.357109,36,-0.2966347634792328
1613068198.43306,37,-0.2799949645996094
1613068198.51268,38,-0.3759562373161316
1613068198.589711,39,-0.47107774019241333
1613068198.677049,40,-0.3985000252723694
1613068198.761927,41,-0.3777206838130951
1613068198.838011,42,-0.3972202241420746
1613068198.927022,43,-0.33971160650253296
1613068199.019436,44,-0.33465713262557983
1613068199.111601,45,-0.29707399010658264
1613068199.209722,46,-0.2623478174209595
1613068199.284545,47,-0.28800907731056213
1613068199.372369,48,-0.4043208658695221
1613068199.445065,49,-0.4239846169948578
1613068199.504441,50,-0.4381004273891449
1613068199.561264,51,-0.413227915763855
1613068199.637506,52,-0.390019029378891
1613068199.717473,53,-0.36720597743988037
1613068199.796928,54,-0.36594605445861816
1613068199.875568,55,-0.4124005436897278
1613068199.955269,56,-0.40716180205345154
1613068200.033398,57,-0.4750799536705017
1613068200.111675,58,-0.44113653898239136
1613068200.18538,59,-0.43077918887138367
1613068200.264691,60,-0.36062783002853394
1613068200.341986,61,-0.44825801253318787
1613068200.419263,62,-0.4184171259403229
1613068200.493083,63,-0.44489020109176636
1613068200.573901,64,-0.4827488362789154
1613068200.644276,65,-0.451147198677063
1613068200.716832,66,-0.5061421394348145
1613068200.789233,67,-0.4116232991218567
1613068200.858396,68,-0.44957855343818665
1613068200.931127,69,-0.42630141973495483
1613068201.01056,70,-0.4719972312450409
1613068201.077738,71,-0.42325934767723083
1613068201.146103,72,-0.4727180600166321
1613068201.217628,73,-0.36610695719718933
1613068201.288881,74,-0.32452133297920227
1613068201.362977,75,-0.3180529475212097
1613068201.436302,76,-0.31641653180122375
1613068201.506803,77,-0.3562917709350586
1613068201.581139,78,-0.37263667583465576
1613068201.653942,79,-0.44892334938049316
1613068201.725693,80,-0.34497755765914917
1613068201.801981,81,-0.39146846532821655
1613068201.863921,82,-0.4421752691268921
1613068201.934157,83,-0.4100383520126343
1613068202.007783,84,-0.483383446931839
1613068202.075689,85,-0.4041113555431366
1613068202.1436,86,-0.44130396842956543
1613068202.218116,87,-0.5230016112327576
1613068202.284154,88,-0.5163440704345703
1613068202.353977,89,-0.5312130451202393
1613068202.428595,90,-0.485022634267807
1613068202.497068,91,-0.43477579951286316
1613068202.56353,92,-0.3820682466030121
1613068202.633096,93,-0.3536912500858307
1613068202.701124,94,-0.38839325308799744
1613068202.77488,95,-0.38668519258499146
1613068202.848054,96,-0.4575316309928894
1613068202.920302,97,-0.35071486234664917
1613068202.994222,98,-0.28174465894699097
1613068203.076183,99,-0.2684747874736786
