Wall time,Step,Value
1613067389.714646,0,0.00020541118283290416
1613067389.783704,1,-3.053681939491071e-05
1613067389.85028,2,-0.001016832422465086
1613067389.918734,3,-0.0031866843346506357
1613067389.998864,4,-0.00517387967556715
1613067390.096211,5,-0.009214892983436584
1613067390.198058,6,-0.015483825467526913
1613067390.321108,7,-0.03858325630426407
1613067390.424183,8,-0.0476057343184948
1613067390.547867,9,-0.10802009701728821
1613067390.643321,10,-0.13756753504276276
1613067390.75511,11,-0.1768886148929596
1613067390.843501,12,-0.18924331665039062
1613067390.950077,13,-0.32088279724121094
1613067391.061822,14,-0.23319844901561737
1613067391.162324,15,-0.2858147919178009
1613067391.24309,16,-0.33402130007743835
1613067391.366829,17,-0.34849095344543457
1613067391.450598,18,-0.46430206298828125
1613067391.572585,19,-0.31822335720062256
1613067391.654553,20,-0.4155150353908539
1613067391.771048,21,-0.4225224554538727
1613067391.842148,22,-0.3666030168533325
1613067391.91144,23,-0.39079952239990234
1613067392.043041,24,-0.3590668737888336
1613067392.117093,25,-0.27553513646125793
1613067392.259769,26,-0.395516961812973
1613067392.34871,27,-0.3921186923980713
1613067392.436159,28,-0.43965041637420654
1613067392.520404,29,-0.3967517018318176
1613067392.654003,30,-0.44535961747169495
1613067392.732989,31,-0.4512961208820343
1613067392.856101,32,-0.479623407125473
1613067392.922051,33,-0.3672685921192169
1613067392.990786,34,-0.4013858437538147
1613067393.057088,35,-0.3949641287326813
1613067393.207711,36,-0.33041492104530334
1613067393.291656,37,-0.35063186287879944
1613067393.407461,38,-0.4086676836013794
1613067393.484036,39,-0.4105750024318695
1613067393.56208,40,-0.4409831762313843
1613067393.638293,41,-0.43022656440734863
1613067393.794176,42,-0.4714077115058899
1613067393.907284,43,-0.42146193981170654
1613067393.996349,44,-0.3047831654548645
1613067394.074963,45,-0.267556756734848
1613067394.155128,46,-0.3796173334121704
1613067394.233159,47,-0.28095120191574097
1613067394.393282,48,-0.45082828402519226
1613067394.501283,49,-0.37714049220085144
1613067394.583436,50,-0.4046396315097809
1613067394.667054,51,-0.3536249101161957
1613067394.749836,52,-0.43927115201950073
1613067394.83155,53,-0.41416123509407043
1613067395.003448,54,-0.4562340974807739
1613067395.09768,55,-0.35527342557907104
1613067395.179473,56,-0.4697457253932953
1613067395.26263,57,-0.4014125168323517
1613067395.349389,58,-0.40431323647499084
1613067395.433933,59,-0.44456636905670166
1613067395.60525,60,-0.4525199234485626
1613067395.6874,61,-0.3903973400592804
1613067395.771098,62,-0.44407451152801514
1613067395.849774,63,-0.5244407057762146
1613067395.932049,64,-0.4252680540084839
1613067396.015244,65,-0.49921295046806335
1613067396.186858,66,-0.4255116283893585
1613067396.250717,67,-0.45683181285858154
1613067396.313392,68,-0.45617035031318665
1613067396.375648,69,-0.5384840965270996
1613067396.437027,70,-0.5214095711708069
1613067396.502435,71,-0.46356865763664246
1613067396.688054,72,-0.44530361890792847
1613067396.75505,73,-0.3888491690158844
1613067396.824571,74,-0.42451217770576477
1613067396.891635,75,-0.354214072227478
1613067396.962205,76,-0.4691806435585022
1613067397.148971,77,-0.41420039534568787
1613067397.216277,78,-0.40606212615966797
1613067397.274059,79,-0.4209469258785248
1613067397.329465,80,-0.2584696412086487
1613067397.387448,81,-0.4106272757053375
1613067397.444736,82,-0.5143581628799438
1613067397.645353,83,-0.5109516382217407
1613067397.706627,84,-0.5252584218978882
1613067397.771601,85,-0.39255088567733765
1613067397.832828,86,-0.39303058385849
1613067397.893593,87,-0.4025084376335144
1613067397.960473,88,-0.4723743796348572
1613067398.150955,89,-0.4727069139480591
1613067398.212961,90,-0.4597601294517517
1613067398.274904,91,-0.42525795102119446
1613067398.34125,92,-0.32057178020477295
1613067398.403372,93,-0.35304370522499084
1613067398.596154,94,-0.3802555799484253
1613067398.671317,95,-0.40357956290245056
1613067398.747463,96,-0.423404335975647
1613067398.822815,97,-0.33311015367507935
1613067398.903913,98,-0.29192349314689636
1613067398.985327,99,-0.28559544682502747
